WATER_YEAR	 SWE
1988	5041671.415
1989	8768241.517
1990	2066718.192
1991	5605554.066
1992	6240439.704
1993	10864913.09
1994	6183775.325
1995	10590066.09
1996	8569683.385
1997	19805863.78
1998	5221803.914
1999	10983754.8
2000	6069435.203
2001	4213648.037
2002	13393150.44
2003	7272277.607
2004	9483708.157
2005	3554426.341
2006	7719710.575
2007	10305471.1
2008	7919842.006
2009	9180685.078
2010	4791258.931
2011	10138237.23
2012	4116403.187
2013	9943470.352
2014	3800410.733
2015	8421215.365
2016	12577554.82
