"","Date","andAF","arkAF","lucAF","in_computed","in_unreg","qo"
"1",1997-10-01,376895.53,41911,139988.36,NA,987.29,2980
"2",1997-10-02,377027,41960.1,136099.95,1011.81,1100.64,2970
"3",1997-10-03,377067.47,42070.46,132259.72,983.37,1059.94,2920
"4",1997-10-04,377118.03,42111.21,128423.89,969.47,1012.12,2900
"5",1997-10-05,377198.97,42131.58,124675.18,1008.17,1061.11,2900
"6",1997-10-06,377422.59,42280.98,120855.1,973.42,1162.1,2900
"7",1997-10-07,376935.97,42615.97,117027.35,966.32,893.73,2900
"8",1997-10-08,377118.03,42899.66,113643.12,1173.87,1408.59,2880
"9",1997-10-09,377422.59,44034.41,109428.05,421.88,1150.56,2550
"10",1997-10-10,377738.81,46151.4,105202.29,180.13,1406.25,2310
"11",1997-10-11,378085.59,48120,101009.69,167.34,1333.58,2280
"12",1997-10-12,378269.19,50093.23,96813.53,168.33,1251.81,2280
"13",1997-10-13,378401.81,52048.79,92669.33,190.42,1243.43,2280
"14",1997-10-14,378616,51652.36,90856.95,1201.67,1114.38,2120
"15",1997-10-15,378758.81,51868.96,91494.41,922.3,1103.59,601
"16",1997-10-16,378932.19,53775.48,91011.12,142.6,1190.95,386
"17",1997-10-17,379105.59,55699.49,90461.88,123.27,1180.56,400
"18",1997-10-18,379289.19,57626.62,89913.06,123.72,1187.45,400
"19",1997-10-19,379421.81,59498.98,89312.85,100.15,1111.23,403
"20",1997-10-20,379554.41,61331.4,88904.39,127.63,1118.77,334
"21",1997-10-21,379687,63125.28,88564.07,128.66,1099.7,300
"22",1997-10-22,379778.81,64853.33,88155.61,93.56,1010.57,299
"23",1997-10-23,380044,66531.11,87798.26,120.87,1100.42,301
"24",1997-10-24,380044,68306.16,87442.58,120.66,1015.6,300
"25",1997-10-25,380217.41,70029.94,87070.42,113.26,1069.85,301
"26",1997-10-26,380350,71835.93,86664.84,96.47,1073.89,301
"27",1997-10-27,380401,73556.85,86293.09,114.54,1007.93,302
"28",1997-10-28,380533.59,75282.77,85921.81,114.2,1050.82,301
"29",1997-10-29,380839.59,77233.93,85653.48,166.17,1303.69,301
"30",1997-10-30,381421,79695.54,85468.72,208.92,1743.04,302
"31",1997-10-31,382128.13,82366.55,85468.72,198.45,1901.17,198
"32",1997-11-01,382488.09,84789.45,85485.52,158.67,1561.48,150
