WATER_YEAR	 ACHFX	 ACLHF	 GRAUPELNC	 HAILNC	 RAINNC	 SFROFF	 SFROFF	 SNOWNC	 UDROFF	 FROZENNC	 RAINNC_TOTAL	 LIQUIDNC	 TOTAL_RUNOFF
1988	2.24918E+14	8.80335E+13	2116775.574	0	5829996.162	1425600.478	1425600.478	26024640.41	11641535.5	28141415.99	44506396.17	16364980.18	13067135.98
1989	2.12406E+14	9.64908E+13	2592123.491	0	5986624.614	2257664.769	2257664.769	32868423.52	17809079.87	35460547.01	58551424.61	23090877.6	20066744.64
1990	2.09195E+14	1.02609E+14	2317082.722	0	5567901.945	2731798.754	2731798.754	26137715.24	14270579.72	28454797.96	54655201.93	26200403.97	17002378.48
1991	2.16526E+14	9.53911E+13	2683431.974	0	5585489.454	1941193.923	1941193.923	26722527.42	14821225.24	29405959.4	51119989.45	21714030.05	16762419.17
1992	2.20825E+14	9.32783E+13	2161938.222	0	5766395.983	1392944.46	1392944.46	19237907.88	8999301.358	21399846.11	43646995.98	22247149.87	10392245.82
1993	1.96023E+14	1.08423E+14	2991688.665	0	5694818.525	2902248.279	2902248.279	36850178.27	21125448.67	39841866.92	72151618.53	32309751.61	24027696.95
1994	2.14635E+14	9.67223E+13	1710019.371	0	5759144.83	1662313.252	1662313.252	26028622.33	12936706.17	27738641.7	45566244.83	17827603.13	14599019.42
1995	1.91693E+14	1.09101E+14	4080907.736	0	5654898.706	3555060.555	3555060.555	40182689.6	27511263.29	44263597.33	81189898.71	36926301.38	31066323.85
1996	1.9911E+14	1.08932E+14	4503911.629	0	5611863.497	3889839.347	3889839.347	40811925.91	40595205.18	45315837.54	79887763.48	34571925.94	44485044.52
1997	1.86977E+14	1.20674E+14	4895729.349	0	5670743.329	8136164.431	8136164.431	44071429.66	45489535.41	48967159	90977743.33	42010584.33	53625699.84
1998	1.81869E+14	1.31436E+14	3780767.293	0	5536013.621	6384244.771	6384244.771	35212537.94	34897526.39	38993305.23	79476913.63	40483608.39	41281771.17
1999	2.0476E+14	1.08187E+14	3151679.742	0	5643371.209	5420697.449	5420697.449	41567239.43	34777649.13	44718919.17	67987171.2	23268252.03	40198346.58
2000	2.17325E+14	9.70196E+13	2490275.757	0	5764081.148	4137348.095	4137348.095	29357797.21	20061761.85	31848072.97	51527381.15	19679308.18	24199109.94
2001	2.24378E+14	9.38522E+13	1407394.318	0	5760712.585	2225632.067	2225632.067	23592367.89	10468132.55	24999762.21	43409412.58	18409650.37	12693764.62
2002	2.12863E+14	9.89988E+13	2393820.007	0	5599763.219	3018009.149	3018009.149	36257102.52	22252250.61	38650922.53	59435563.23	20784640.7	25270259.76
2003	2.09972E+14	1.00895E+14	2988493.911	0	5669772.561	2900054.105	2900054.105	32208482.98	24755581.19	35196976.89	59588372.55	24391395.66	27655635.29
2004	2.11361E+14	1.0714E+14	2715750.912	0	5668521.089	3073266.18	3073266.18	32104945.96	21080300.54	34820696.88	60023021.09	25202324.21	24153566.72
2005	2.03511E+14	1.13836E+14	2529260.604	0	5669392.159	2447082.281	2447082.281	24343864.92	18925295	26873125.53	56909492.16	30036366.63	21372377.28
2006	1.89244E+14	1.16384E+14	3951518.995	0	5663759.717	6133529.176	6133529.176	43405334.63	39053526.25	47356853.61	82170259.71	34813406.1	45187055.43
2007	2.13102E+14	1.03147E+14	2475765.968	0	5726969.858	3062848.366	3062848.366	29236192.25	23517242.02	31711958.22	56416969.86	24705011.64	26580090.39
2008	2.16812E+14	9.58681E+13	2244749.093	0	5684941.48	3849488.605	3849488.605	36813200.93	24348940.41	39057950.02	57851341.48	18793391.46	28198429.01
2009	1.97023E+14	1.09921E+14	2703285.491	0	5720814.11	4661367.677	4661367.677	33464779.47	23147247.6	36168064.97	63055514.11	26887449.14	27808615.28
2010	2.06547E+14	1.0467E+14	2560777.966	0	5648556.413	3764465.267	3764465.267	31591184.82	22155747.61	34151962.78	58010556.42	23858593.64	25920212.88
2011	1.91825E+14	1.12545E+14	3296677.539	0	5639306.446	5227636.696	5227636.696	39405391.36	32032617.77	42702068.9	71173806.45	28471737.56	37260254.47
2012	2.05889E+14	1.00747E+14	3336705.801	0	5682702.634	4560529.571	4560529.571	31823898.28	25585518.22	35160604.08	58126902.63	22966298.55	30146047.79
2013	2.18674E+14	9.36637E+13	2613727.871	0	5622758.81	2960519.399	2960519.399	26045434.62	17898481.88	28659162.49	52808858.81	24149696.31	20859001.28
2014	2.07442E+14	1.05737E+14	3084304.056	0	5747081.607	4076469.954	4076469.954	31380891.52	21903873.98	34465195.57	64188581.61	29723386.04	25980343.93
2015	2.07011E+14	1.09337E+14	3036259.133	0	5620812.308	3448102.678	3448102.678	23242131.66	20398342.7	26278390.8	56288912.3	30010521.51	23846445.38
2016	2.07597E+14	1.04426E+14	3158796.589	0	5683821.474	2720738.308	2720738.308	32503895.53	22457598.43	35662692.13	61091221.47	25428529.34	25178336.73
2017	1.84058E+14	1.14052E+14	3878189.159	0	5675273.105	4576346.187	4576346.187	44558450.63	37301966.25	48436639.78	79155273.11	30718633.33	41878312.44
