Date,DOY,fv1.3,fv1.4,fv1.5,fv1.6,fv1.7
1/1/18,1,150,150,149.81,209.9,281
1/2/18,2,150,150,152.62,212.8,283.46
1/3/18,3,150,150,155,215.7,286.19
1/4/18,4,150,150,158.24,220,288.92
1/5/18,5,150,150,161.05,221.5,291.65
1/6/18,6,150,150,163.86,224.4,295
1/7/18,7,150,150,166.67,227.3,297.11
1/8/18,8,150,150,169.48,230.2,300
1/9/18,9,150,150,172.29,233.1,NA
1/10/18,10,150,150,175,236,NA
1/11/18,11,150,150,177.91,238.9,NA
1/12/18,12,150,150,180.72,241.8,NA
1/13/18,13,150,150,183.53,244.7,NA
1/14/18,14,150,150,186.34,250,NA
1/15/18,15,150,150,189.15,250.5,NA
1/16/18,16,150,150,191.96,253.4,NA
1/17/18,17,150,150,194.77,256.3,NA
1/18/18,18,150,150,197.58,259.2,NA
1/19/18,19,150,150,200,262.1,NA
1/20/18,20,150,150,203.2,265,NA
1/21/18,21,150,150,206.01,267.9,NA
1/22/18,22,150,150,208.82,270.8,NA
1/23/18,23,150,150,211.63,275,NA
1/24/18,24,150,150,214.44,276.6,NA
1/25/18,25,150,150,217.25,279.5,NA
1/26/18,26,150,153.2,220.06,282.4,NA
1/27/18,27,150,155.9,222.87,285.3,NA
1/28/18,28,150,158.6,225,290,NA
1/29/18,29,150,161.3,228.49,291.1,NA
1/30/18,30,150,164,231.3,294,NA
1/31/18,31,150,166.7,234.11,296.9,NA
2/1/18,32,150,169.4,236.92,299.8,NA
2/2/18,33,150,172.1,239.73,NA,NA
2/3/18,34,150,174.8,242.54,NA,NA
2/4/18,35,150,177.5,245,NA,NA
2/5/18,36,150,180,248.16,NA,NA
2/6/18,37,150,182.9,250.97,NA,NA
2/7/18,38,150,185.6,253.78,NA,NA
2/8/18,39,150,188.3,256.59,NA,NA
2/9/18,40,150,190,259.4,NA,NA
2/10/18,41,150,193.7,262.21,NA,NA
2/11/18,42,150,196.4,265,NA,NA
2/12/18,43,150,199.1,267.83,NA,NA
2/13/18,44,150,201.8,NA,NA,NA
2/14/18,45,150,204.5,NA,NA,NA
2/15/18,46,150,207.2,NA,NA,NA
2/16/18,47,150,209.9,NA,NA,NA
2/17/18,48,150,212.6,NA,NA,NA
2/18/18,49,150,215.3,NA,NA,NA
2/19/18,50,150,218,NA,NA,NA
2/20/18,51,153.125,220,NA,NA,NA
2/21/18,52,156.25,223.4,NA,NA,NA
2/22/18,53,159.375,NA,NA,NA,NA
2/23/18,54,162.5,NA,NA,NA,NA
2/24/18,55,165.625,NA,NA,NA,NA
2/25/18,56,168.75,NA,NA,NA,NA
2/26/18,57,171.875,NA,NA,NA,NA
2/27/18,58,175,NA,NA,NA,NA
2/28/18,59,NA,NA,NA,NA,NA
3/1/18,60,50,50,50,50,50
3/2/18,61,50,50,50,50,50
3/3/18,62,50,50,50,50,50
3/4/18,63,50,50,50,50,50
3/5/18,64,50,50,50,50,50
3/6/18,65,50,50,50,50,50
3/7/18,66,50,50,50,50,50
3/8/18,67,50,50,50,50,50
3/9/18,68,50,50,50,50,50
3/10/18,69,50,50,50,50,50
3/11/18,70,50,50,50,50,50
3/12/18,71,50,50,50,50,50
3/13/18,72,50,50,50,50,50
3/14/18,73,50,50,50,50,50
3/15/18,74,50,50,50,50,50
3/16/18,75,50,50,50,50,50
3/17/18,76,50,50,50,50,50
3/18/18,77,50,50,50,50,50
3/19/18,78,50,50,50,50,50
3/20/18,79,50,50,50,50,50
3/21/18,80,50,50,50,50,50
3/22/18,81,50,50,50,50,50
3/23/18,82,50,50,50,50,50
3/24/18,83,50,50,50,50,50
3/25/18,84,50,50,50,50,50
3/26/18,85,50,50,50,50,50
3/27/18,86,50,50,50,50,50
3/28/18,87,50,50,50,50,50
3/29/18,88,50,50,50,50,50
3/30/18,89,50,50,50,50,50
3/31/18,90,50,50,50,50,50
