wy,start,end
1998,10/1/1997,9/30/1998
1999,10/1/1998,9/30/1999
2000,10/1/1999,9/30/2000
2001,10/1/2000,9/30/2001
2002,10/1/2001,9/30/2002
2003,10/1/2002,9/30/2003
2004,10/1/2003,9/30/2004
2005,10/1/2004,9/30/2005
2006,10/1/2005,9/30/2006
2007,10/1/2006,9/30/2007
2008,10/1/2007,9/30/2008
2009,10/1/2008,9/30/2009
2010,10/1/2009,9/30/2010
2011,10/1/2010,9/30/2011
2012,10/1/2011,9/30/2012
2013,10/1/2012,9/30/2013
2014,10/1/2013,9/30/2014
2015,10/1/2014,9/30/2015
2016,10/1/2015,9/30/2016
2017,10/1/2016,9/30/2017
2018,10/1/2017,9/30/2018
